iter	Passed	Remaining
270	498	1340
271	499	1338
272	501	1336
273	503	1334
274	505	1332
275	507	1330
276	509	1328
277	510	1326
278	512	1324
279	514	1322
280	516	1320
281	518	1318
282	519	1317
283	521	1315
284	523	1313
285	525	1311
286	527	1309
287	528	1307
288	530	1305
289	532	1304
290	534	1302
291	536	1301
292	538	1299
293	540	1297
294	542	1295
295	543	1293
296	545	1291
297	547	1289
298	549	1287
299	551	1285
300	552	1284
301	554	1282
302	556	1280
303	558	1278
304	560	1276
305	562	1274
306	563	1273
307	565	1271
308	567	1269
309	569	1267
310	571	1265
311	572	1263
312	574	1261
313	576	1259
314	578	1257
315	580	1256
316	582	1254
317	583	1252
318	585	1250
319	587	1248
320	589	1247
321	591	1245
322	593	1243
323	594	1241
324	596	1239
325	598	1237
326	600	1235
327	602	1233
328	603	1231
329	605	1229
330	607	1227
331	609	1226
332	611	1224
333	612	1222
334	614	1220
335	616	1218
336	618	1216
337	620	1214
338	621	1212
339	623	1210
340	625	1209
341	627	1207
342	629	1204
343	630	1203
344	632	1201
345	634	1199
346	636	1197
347	638	1195
348	639	1193
349	641	1191
350	643	1189
351	645	1187
352	646	1185
353	648	1183
354	650	1181
355	652	1179
356	654	1178
357	656	1176
358	658	1175
359	659	1173
360	661	1171
361	663	1169
362	665	1167
363	666	1165
364	668	1163
365	670	1161
366	672	1159
367	674	1158
368	676	1156
369	677	1154
370	679	1152
371	681	1150
372	683	1148
373	685	1147
374	687	1145
375	689	1143
376	690	1141
377	692	1139
378	694	1137
379	696	1135
380	698	1134
381	699	1132
382	701	1130
383	703	1128
384	705	1127
385	707	1125
386	709	1123
387	711	1121
388	712	1119
389	714	1117
390	716	1116
391	718	1114
392	720	1112
393	722	1111
394	724	1109
395	725	1107
396	727	1105
397	729	1103
398	731	1101
399	733	1099
400	734	1097
401	736	1095
402	738	1093
403	740	1092
404	742	1090
405	743	1088
406	745	1086
407	747	1084
408	749	1082
409	751	1080
410	752	1078
411	754	1077
412	756	1075
413	758	1073
414	760	1071
415	761	1069
416	763	1067
417	765	1065
418	767	1064
419	769	1062
420	771	1060
421	773	1058
422	774	1057
423	776	1055
424	778	1053
425	780	1051
426	782	1049
427	784	1047
428	785	1046
429	787	1044
430	789	1042
431	791	1040
432	793	1038
433	794	1036
434	796	1034
435	798	1032
436	800	1030
437	801	1028
438	803	1027
439	805	1025
440	807	1023
441	809	1021
442	810	1019
443	812	1017
444	814	1015
445	816	1013
446	818	1011
447	819	1010
448	821	1008
449	823	1006
450	825	1004
451	827	1003
452	829	1001
453	831	1000
454	833	998
455	835	996
456	837	994
457	839	992
458	840	991
459	842	989
460	844	987
461	846	985
462	848	984
463	850	982
464	852	980
465	854	978
466	855	976
467	857	974
468	859	973
469	861	971
470	863	969
471	865	967
472	866	965
473	868	963
474	870	962
475	872	960
476	874	958
477	876	956
478	878	955
479	879	953
480	881	951
481	883	949
482	885	947
483	887	945
484	888	943
485	890	942
486	892	940
487	894	938
488	896	936
489	898	934
490	899	932
491	901	931
492	903	929
493	905	927
494	907	925
495	909	923
496	910	921
497	912	919
498	914	918
499	916	916
500	918	914
501	919	912
502	921	910
503	923	909
504	925	907
505	927	905
506	928	903
507	930	901
508	932	899
509	934	897
510	936	895
511	937	893
512	939	892
513	941	890
514	943	888
515	945	886
516	946	884
517	948	882
518	950	880
519	952	878
520	953	877
521	955	875
522	957	873
523	959	871
524	961	869
525	962	867
526	964	865
527	966	863
528	968	862
529	970	860
530	971	858
531	973	856
532	975	854
533	977	852
534	978	850
535	980	848
536	982	846
537	984	845
538	985	843
539	987	841
540	989	839
541	991	837
542	992	835
543	994	833
544	996	831
545	998	830
546	999	828
547	1001	826
548	1003	824
549	1005	822
550	1007	820
551	1008	818
552	1010	816
553	1012	815
554	1014	813
555	1016	811
556	1017	809
557	1019	807
558	1021	805
559	1022	803
560	1024	801
561	1026	800
562	1028	798
563	1030	796
564	1032	794
565	1034	793
566	1036	791
567	1037	789
568	1039	787
569	1041	785
570	1043	783
571	1044	781
572	1046	780
573	1048	778
574	1050	776
575	1052	774
576	1054	772
577	1055	770
578	1057	769
579	1059	767
580	1061	765
581	1062	763
582	1064	761
583	1066	759
584	1068	757
585	1069	755
586	1071	754
587	1073	752
588	1075	750
589	1076	748
590	1078	746
591	1080	744
592	1082	742
593	1083	740
594	1085	739
595	1087	737
596	1089	735
597	1091	733
598	1093	731
599	1094	729
600	1096	728
601	1098	726
602	1100	724
603	1101	722
604	1103	720
605	1105	718
606	1107	717
607	1109	715
608	1110	713
609	1112	711
610	1114	709
611	1116	707
612	1118	705
613	1119	703
614	1121	702
615	1123	700
616	1125	698
617	1126	696
618	1128	694
619	1130	692
620	1132	691
621	1134	689
622	1135	687
623	1137	685
624	1139	683
625	1141	681
626	1143	680
627	1145	678
628	1147	676
629	1149	674
630	1151	673
631	1153	671
632	1154	669
633	1156	667
634	1158	665
635	1160	664
636	1162	662
637	1164	660
638	1166	658
639	1167	656
640	1169	655
641	1171	653
642	1173	651
643	1175	649
644	1177	648
645	1179	646
646	1181	644
647	1182	642
648	1184	640
649	1186	638
650	1188	637
651	1190	635
652	1192	633
653	1194	631
654	1196	629
655	1197	628
656	1199	626
657	1201	624
658	1203	622
659	1205	620
660	1207	619
661	1208	617
662	1210	615
663	1212	613
664	1214	611
665	1216	609
666	1218	608
667	1220	606
668	1221	604
669	1223	602
670	1225	600
671	1227	599
672	1229	597
673	1230	595
674	1232	593
675	1234	591
676	1236	589
677	1238	588
678	1240	586
679	1242	584
680	1244	582
681	1246	581
682	1247	579
683	1249	577
684	1251	575
685	1253	573
686	1255	571
687	1257	570
688	1259	568
689	1260	566
690	1262	564
691	1264	562
692	1266	561
693	1268	559
694	1270	557
695	1272	555
696	1274	553
697	1276	552
698	1277	550
699	1279	548
700	1281	546
701	1283	544
702	1285	543
703	1287	541
704	1289	539
705	1290	537
706	1292	535
707	1294	534
708	1296	532
709	1298	530
710	1300	528
711	1302	526
712	1304	524
713	1305	523
714	1307	521
715	1309	519
716	1311	517
717	1313	515
718	1315	514
719	1317	512
720	1319	510
721	1320	508
722	1322	506
723	1324	504
724	1326	503
725	1328	501
726	1330	499
727	1332	497
728	1334	496
729	1336	494
730	1338	492
731	1340	490
732	1342	488
733	1343	487
734	1345	485
735	1347	483
736	1349	481
737	1351	479
738	1353	477
739	1355	476
740	1357	474
741	1358	472
742	1360	470
743	1362	468
744	1364	467
745	1366	465
746	1368	463
747	1369	461
748	1371	459
749	1373	457
750	1375	456
751	1377	454
752	1379	452
753	1381	450
754	1383	448
755	1385	447
756	1387	445
757	1389	443
758	1391	441
759	1393	439
760	1395	438
761	1397	436
762	1398	434
763	1400	432
764	1402	430
765	1404	429
766	1406	427
767	1408	425
768	1410	423
769	1412	421
770	1414	420
771	1416	418
772	1418	416
773	1419	414
774	1421	412
775	1423	411
776	1425	409
777	1427	407
778	1429	405
779	1431	403
780	1433	401
781	1435	400
782	1437	398
783	1439	396
784	1441	394
785	1443	392
786	1445	391
787	1447	389
788	1449	387
789	1451	385
790	1452	383
791	1454	382
792	1456	380
793	1458	378
794	1460	376
795	1462	374
796	1464	373
797	1466	371
798	1468	369
799	1470	367
800	1472	365
801	1474	364
802	1476	362
803	1478	360
804	1480	358
805	1482	356
806	1484	354
807	1486	353
808	1487	351
809	1489	349
810	1491	347
811	1493	345
812	1496	344
813	1498	342
814	1499	340
815	1501	338
816	1503	336
817	1505	334
818	1507	333
819	1509	331
820	1511	329
821	1513	327
822	1515	325
823	1516	324
824	1518	322
825	1520	320
826	1523	318
827	1525	316
828	1526	314
829	1528	313
830	1530	311
831	1532	309
832	1534	307
833	1536	305
834	1538	304
835	1540	302
836	1542	300
837	1544	298
838	1546	296
839	1548	294
840	1550	293
841	1552	291
842	1555	289
843	1556	287
844	1558	285
845	1560	284
846	1562	282
847	1564	280
848	1566	278
849	1568	276
850	1570	274
851	1572	273
852	1573	271
853	1575	269
854	1577	267
855	1579	265
856	1581	263
857	1583	262
858	1585	260
859	1587	258
860	1588	256
861	1590	254
862	1592	252
863	1594	251
864	1596	249
865	1598	247
866	1600	245
867	1602	243
868	1604	241
869	1606	240
870	1608	238
871	1610	236
872	1612	234
873	1614	232
874	1616	230
875	1617	229
876	1619	227
877	1621	225
878	1623	223
879	1625	221
880	1627	219
881	1629	218
882	1631	216
883	1633	214
884	1635	212
885	1637	210
886	1639	208
887	1641	207
888	1643	205
889	1645	203
890	1647	201
891	1649	199
892	1651	197
893	1653	195
894	1654	194
895	1656	192
896	1658	190
897	1660	188
898	1662	186
899	1664	184
900	1666	183
901	1667	181
902	1669	179
903	1671	177
904	1673	175
905	1675	173
906	1677	172
907	1679	170
908	1681	168
909	1683	166
910	1685	164
911	1687	162
912	1689	160
913	1690	159
914	1692	157
915	1694	155
916	1696	153
917	1698	151
918	1700	149
919	1702	148
920	1704	146
921	1706	144
922	1708	142
923	1710	140
924	1711	138
925	1713	136
926	1715	135
927	1717	133
928	1719	131
929	1721	129
930	1723	127
931	1725	125
932	1727	124
933	1729	122
934	1730	120
935	1732	118
936	1734	116
937	1736	114
938	1738	112
939	1740	111
940	1742	109
941	1744	107
942	1746	105
943	1747	103
944	1749	101
945	1751	99
946	1753	98
947	1756	96
948	1757	94
949	1760	92
950	1762	90
951	1764	88
952	1766	87
953	1768	85
954	1770	83
955	1772	81
956	1774	79
957	1776	77
958	1778	76
959	1780	74
960	1782	72
961	1784	70
962	1786	68
963	1788	66
964	1789	64
965	1791	63
966	1793	61
967	1795	59
968	1797	57
969	1799	55
970	1801	53
971	1803	51
972	1805	50
973	1807	48
974	1808	46
975	1810	44
976	1812	42
977	1814	40
978	1816	38
979	1818	37
980	1820	35
981	1821	33
982	1823	31
983	1825	29
984	1827	27
985	1829	25
986	1831	24
987	1833	22
988	1834	20
989	1836	18
990	1838	16
991	1840	14
992	1842	12
993	1844	11
994	1846	9
995	1848	7
996	1850	5
997	1851	3
998	1853	1
999	1855	0
