iter	Logloss
0	0.6758366081
1	0.6602871613
2	0.6463376353
3	0.6343916078
4	0.6191908567
5	0.6048217334
6	0.5906912393
7	0.5782159845
8	0.5646924506
9	0.5522785533
10	0.5405069715
11	0.5286275361
12	0.520103943
13	0.5080079162
14	0.4962615128
15	0.4861359934
16	0.4787227573
17	0.4699292586
18	0.4605653869
19	0.4517231471
20	0.4444608939
21	0.4354852679
22	0.4269148497
23	0.4185042704
24	0.4106369075
25	0.4035789985
26	0.3972012458
27	0.3896041726
28	0.3821416688
29	0.3767645929
30	0.3706436252
31	0.36399746
32	0.3575243405
33	0.3512748656
34	0.3454842076
35	0.3401614973
36	0.3360191454
37	0.3308759834
38	0.32611138
39	0.3212485092
40	0.3177437527
41	0.3134281443
42	0.3092675483
43	0.3047350428
44	0.3011019473
45	0.2973618046
46	0.2951519312
47	0.291505004
48	0.288149037
49	0.2844735178
50	0.2817495932
51	0.2787815002
52	0.2752630804
53	0.2728575966
54	0.2703907297
55	0.2680958038
56	0.2663747443
57	0.2628091483
58	0.2598099694
59	0.257209419
60	0.2550613225
61	0.2527958982
62	0.2504362358
63	0.2486752207
64	0.2466348297
65	0.2445386219
66	0.2432850607
67	0.2419063803
68	0.2395353725
69	0.2374509315
70	0.235740962
71	0.2337126154
72	0.2317542045
73	0.2300598964
74	0.2286398956
75	0.2276145291
76	0.2264361501
77	0.2256687284
78	0.2239648141
79	0.2220114002
80	0.2210792207
81	0.2194198249
82	0.2184030842
83	0.21722505
84	0.2161454071
85	0.2148427574
86	0.2134355524
87	0.2125518903
88	0.2114538325
89	0.2106154005
90	0.2098065152
91	0.2091430292
92	0.2078911206
93	0.2068889223
94	0.2061204267
95	0.2055519255
96	0.2041367451
97	0.2032876378
98	0.2020088273
99	0.2012682747
100	0.2003817994
101	0.1999571382
102	0.1995233744
103	0.1988234838
104	0.1977681787
105	0.1972781091
106	0.196844881
107	0.1960327838
108	0.1950906658
109	0.1944471707
110	0.1932948611
111	0.1920030755
112	0.1912271007
113	0.1900551784
114	0.1895240669
115	0.1887317536
116	0.1881069302
117	0.1876707554
118	0.1873097042
119	0.1868896917
120	0.186668242
121	0.1862912589
122	0.1861469649
123	0.1854886422
124	0.1851205388
125	0.1847044896
126	0.1842182604
127	0.1837301759
128	0.1833285215
129	0.1826944373
130	0.1822767925
131	0.1818490393
132	0.1816671275
133	0.1813700274
134	0.1811324709
135	0.1801888066
136	0.1798641516
137	0.1795701557
138	0.1791998279
139	0.1789510287
140	0.1785259769
141	0.178234046
142	0.1774871045
143	0.1772188142
144	0.1768803444
145	0.1766830822
146	0.1764158917
147	0.1759888386
148	0.1755465948
149	0.1753173775
150	0.1749168657
151	0.1746417047
152	0.1743407065
153	0.1739917978
154	0.1736981158
155	0.1733689401
156	0.1731483012
157	0.1728233441
158	0.1724952617
159	0.1722809708
160	0.1718915384
161	0.1713803667
162	0.1711395682
163	0.1708586125
164	0.1706255341
165	0.1704359676
166	0.1700102598
167	0.1696203114
168	0.1692955627
169	0.1690230087
170	0.1686042005
171	0.168241337
172	0.168075645
173	0.1676535759
174	0.1673100112
175	0.1669932422
176	0.1667434366
177	0.1664292103
178	0.1662130418
179	0.165977269
180	0.165712449
181	0.1654539191
182	0.165092015
183	0.1647822316
184	0.1645498617
185	0.164277584
186	0.1639480675
187	0.1637878068
188	0.1633027167
189	0.1630928625
190	0.1629273714
191	0.162738111
192	0.1624498945
193	0.1622445158
194	0.1619138216
195	0.1617081642
196	0.1614323866
197	0.1612192689
198	0.1609566256
199	0.160769764
200	0.160578003
201	0.1603983055
202	0.1600433344
203	0.1597079832
204	0.1594705521
205	0.1592061275
206	0.1590048695
207	0.1588763285
208	0.1585859358
209	0.1584303617
210	0.1581665067
211	0.157910746
212	0.1575804878
213	0.1573265772
214	0.1572362296
215	0.1570800696
216	0.1567622877
217	0.1564714249
218	0.1562266742
219	0.1559974983
220	0.1557812748
221	0.1556230809
222	0.1553937792
223	0.1547212151
224	0.1545887353
225	0.1544344161
226	0.1543483414
227	0.1541863502
228	0.1540019678
229	0.1537767775
230	0.1535192965
231	0.1534262193
232	0.1533027753
233	0.1531563107
234	0.1528887034
235	0.1526404612
236	0.152402396
237	0.1521029709
238	0.1518447043
239	0.1516234977
240	0.1514386525
241	0.1512461379
242	0.1511074454
243	0.1508758694
244	0.1506149573
245	0.1503003656
246	0.1501044663
247	0.1499954144
248	0.1496242845
249	0.1494226102
250	0.1492181212
251	0.1489396322
252	0.1486659341
253	0.1485821969
254	0.1483954167
255	0.1481982426
256	0.1479679727
257	0.1477723251
258	0.1475444077
259	0.1473550662
260	0.1470473779
261	0.1466176833
262	0.1464543425
263	0.1463688747
264	0.1461873018
265	0.1460851009
266	0.1458786412
267	0.1457617986
268	0.1455698737
269	0.1453094035
270	0.145045444
271	0.1448653128
272	0.1447379796
273	0.1445495838
274	0.1443701188
275	0.1440910418
276	0.1437129628
277	0.1434906425
278	0.1432917662
279	0.1431130958
280	0.1428272576
281	0.1425409097
282	0.1423351241
283	0.1421125467
284	0.1419259246
285	0.1416614308
286	0.141438468
287	0.141294536
288	0.1410263746
289	0.1407969372
290	0.1405627382
291	0.1401748201
292	0.1399916585
293	0.1397127535
294	0.1394312722
295	0.13932549
296	0.1391146193
297	0.1389238874
298	0.1386778417
299	0.1386245068
300	0.1384579426
301	0.1382040542
302	0.1380503156
303	0.1378350391
304	0.1376572954
305	0.137511006
306	0.1373106644
307	0.1370834257
308	0.1369442193
309	0.1367496849
310	0.1365685457
311	0.1362421046
312	0.1360625217
313	0.1358528995
314	0.1356371269
315	0.1353585081
316	0.1352736368
317	0.1351629143
318	0.1349670115
319	0.134777226
320	0.1345633936
321	0.1344672374
322	0.134278455
323	0.1341332541
324	0.1338091035
325	0.1336159941
326	0.1333992629
327	0.1332931213
328	0.1331818835
329	0.1330646058
330	0.1329679935
331	0.1328288933
332	0.1326963975
333	0.1325156959
334	0.1322864257
335	0.1320887673
336	0.1319263168
337	0.1317031631
338	0.1314936933
339	0.1313225071
340	0.1311554553
341	0.1309081099
342	0.1308156798
343	0.1305398586
344	0.1303829574
345	0.1302722228
346	0.1300764212
347	0.1300054315
348	0.1298288674
349	0.1297068085
350	0.1295828936
351	0.1293494507
352	0.129266499
353	0.1290436859
354	0.1288673205
355	0.1287320768
356	0.1286622621
357	0.1285772987
358	0.1284094663
359	0.1282954939
360	0.1281104232
361	0.1279415877
362	0.127744217
363	0.1276564233
364	0.1275511301
365	0.127280178
366	0.1271040719
367	0.1268921487
368	0.1267470403
369	0.1266221762
370	0.1264380078
371	0.1262965545
372	0.126128555
373	0.1259689484
374	0.125785304
375	0.1256918426
376	0.1255392146
377	0.1253628083
378	0.1252439074
379	0.1250686501
380	0.124964325
381	0.1247806165
382	0.124651074
383	0.1245630195
384	0.124402537
385	0.1242410286
386	0.1240824096
387	0.1239764438
388	0.1238389231
389	0.1237286305
390	0.1236440825
391	0.1235502393
392	0.1233946687
393	0.1232331194
394	0.1231742759
395	0.1230800558
396	0.1228246317
397	0.12264593
398	0.1225466815
399	0.1223903331
400	0.1222674472
401	0.122095129
402	0.1218530893
403	0.1217233027
404	0.1215649697
405	0.1214702694
406	0.1213445888
407	0.1212353923
408	0.1211135981
409	0.1210164866
410	0.1208364062
411	0.1206383967
412	0.1204318007
413	0.1203730352
414	0.1201930434
415	0.1200822602
416	0.1199744023
417	0.1198553317
418	0.1197251787
419	0.1196098743
420	0.1194736477
421	0.1193045818
422	0.1191123649
423	0.1189566276
424	0.1188140606
425	0.1186176031
426	0.1184301053
427	0.1182895402
428	0.1180643628
429	0.1179881005
430	0.1178318171
431	0.1177266667
432	0.1175838636
433	0.117446652
434	0.1171837061
435	0.1170998826
436	0.1169088023
437	0.1166895394
438	0.1165250649
439	0.1162702449
440	0.1161584823
441	0.1160270068
442	0.115864922
443	0.1157435793
444	0.1155516905
445	0.1154562877
446	0.1153353101
447	0.1151417235
448	0.1150071344
449	0.1148778776
450	0.1147686485
451	0.1146246801
452	0.1144164656
453	0.1143401139
454	0.114242095
455	0.1139923379
456	0.1138169591
457	0.1136468022
458	0.1135413631
459	0.1133526166
460	0.1131761563
461	0.1130558462
462	0.1129375157
463	0.1128415025
464	0.1127459714
465	0.1126736137
466	0.1125868514
467	0.1124302641
468	0.1123692702
469	0.1121458393
470	0.1120320667
471	0.1118953519
472	0.1118048463
473	0.1116911695
474	0.1114944973
475	0.1112970635
476	0.1110872673
477	0.1109726675
478	0.1107536122
479	0.1105704661
480	0.1103906667
481	0.1102348522
482	0.1101565834
483	0.1100692429
484	0.1099924006
485	0.1098289429
486	0.109703808
487	0.1096242642
488	0.1095324028
489	0.1094958379
490	0.1093786269
491	0.1091741795
492	0.109058173
493	0.1089263295
494	0.1088139295
495	0.1086150705
496	0.1084500633
497	0.1083260643
498	0.1082433791
499	0.1081422023
500	0.1079979546
501	0.107862038
502	0.1077443953
503	0.1075925241
504	0.1074815816
505	0.1073821668
506	0.107251864
507	0.1070801
508	0.1069652741
509	0.1068421254
510	0.1067209862
511	0.1065865119
512	0.1061822764
513	0.1059210921
514	0.1058141836
515	0.1057195813
516	0.1055043514
517	0.1053537758
518	0.1052549408
519	0.1051111425
520	0.1049633085
521	0.1047987388
522	0.1046367132
523	0.1044306249
524	0.1043191434
525	0.1042415291
526	0.1041593705
527	0.1040954138
528	0.1040463294
529	0.103922215
530	0.1038687547
531	0.1037686901
532	0.1036466803
533	0.1035843684
534	0.1034458255
535	0.1032729763
536	0.1031434754
537	0.103012041
538	0.1028179052
539	0.1027332213
540	0.1026204869
541	0.1025642838
542	0.1023862238
543	0.1022626004
544	0.1021246792
545	0.1020221634
546	0.1019239787
547	0.1018249048
548	0.1017752553
549	0.1016988355
550	0.1015386382
551	0.1013769912
552	0.1012064129
553	0.1010430296
554	0.1010099322
555	0.1008739788
556	0.1007094095
557	0.1006217576
558	0.1005337032
559	0.1003888345
560	0.1002626979
561	0.1001743134
562	0.1000957356
563	0.09991142527
564	0.09957995163
565	0.09944920148
566	0.09941290258
567	0.09926824278
568	0.09915800794
569	0.09908365322
570	0.09890294329
571	0.09880309475
572	0.09860622757
573	0.09846595796
574	0.09833418873
575	0.09821074446
576	0.0981132102
577	0.09804034516
578	0.097992563
579	0.09780864963
580	0.09772672261
581	0.09762561383
582	0.09754437517
583	0.09741235395
584	0.09732372237
585	0.09722200674
586	0.09710365325
587	0.09696399202
588	0.09687337805
589	0.09676388446
590	0.09662691303
591	0.09655835176
592	0.09647646097
593	0.09635071164
594	0.09618768774
595	0.09615296279
596	0.09606521088
597	0.09588335904
598	0.09574418279
599	0.09557711064
600	0.09514226245
601	0.09502422468
602	0.09497804812
603	0.09484190365
604	0.09470037639
605	0.09435186578
606	0.09412170789
607	0.09401183942
608	0.09393313304
609	0.09380884966
610	0.0936414233
611	0.09352597784
612	0.09342931437
613	0.09330041878
614	0.09319435542
615	0.09310876168
616	0.09301996433
617	0.09283492387
618	0.09263993648
619	0.09247192032
620	0.09234484202
621	0.09223791612
622	0.09220812632
623	0.09207886884
624	0.09193750086
625	0.09181121028
626	0.09175703684
627	0.09167426919
628	0.09156362547
629	0.09149027442
630	0.09134074559
631	0.09130139687
632	0.09125935554
633	0.09112727805
634	0.09098641642
635	0.09087076046
636	0.09075984327
637	0.09065651263
638	0.09056416536
639	0.09046257499
640	0.09036635937
641	0.09028533684
642	0.09018863327
643	0.09004813311
644	0.08991604586
645	0.08987330621
